id,numSituation,name,descr
1,1,Utilisation de la grue,
2,1,Manutention de charges,
3,1,Présence du grutier en cabine,
4,2,"Camions benne, toupie, gravillonneur et semi-remorque",
5,2,"Camions benne, toupie, gravillonneur et semi-remorque",
6,2,"Camions benne, toupie, gravillonneur et semi-remorque",
7,2,Camion grue,
8,2,Manutention de charge par camion grue,
9,2,Finisseur,
10,2,Répandeuse à liant,
11,2,Montée-descente d'engin,
12,3,Chargement de béton,
13,4,Manutention,
14,4,Chargeur,
15,5,Compacteur < 2.5t,
16,5,Compacteur > 2.5t,
17,6,Groupe électrogène,
18,6,Groupe électrogène,
19,6,Armoire électrique,
20,7,Activité fouilles-terrassements,
21,7,Activité fouilles-terrassements,
22,7,"Utilisation de camions, de pelles et autres engins",
23,7,Présence de réseaux existants,
24,8,Fouilles,
25,8,Fouilles / tranchées,
26,9,Cf Risques récurrents (7),
27,10,Remblais de fondations,
28,11,Ouverture de regard,
29,11,Présence d'eaux usées,
30,13,Décapage de terres végétales,
31,13,Evacuation des terres végétales,
32,14,Creusage de fond,
33,14,Coffrage des semelles,
34,14,Coulage du béton,
35,14,Création des semelles,
36,15,Manutention,
37,15,Manutention,
38,15,Utilisation d'engin,
39,16,Ferraillage,
40,16,Bétonnage,
41,17,Scellement-encuvement,
42,18,Paroi moulée,
43,19,Paroi clouée,
44,20,Manutention manuelle,
45,20,Construction du mur,
46,20,Utilisation de ciment,
47,21,Manutention manuelle,
48,21,Construction du mur,
49,21,Utilisation de ciment,
50,21,Banches,
51,22,Bétonnage,
52,22,Ferraillage,
53,22,Etais tire-pousse,
54,22,Banches,
55,22,Manutention,
56,23,Manutention,
57,23,Installation des murs,
58,23,Utilisation de ciment,
59,24,Manutention,
60,24,"Elingage, mise en place et retrait des stabilisations provisoires (, clavetage)",
61,24,Pose du prémur,
62,24,Remplissage béton - Utilisation de ciment,
63,25,Pose d'armature,
64,25,Coulage béton,
65,25,Banches,
66,25,Etais,
67,26,Manutention de charge,
68,26,Manutention de charge,
69,26,Etais,
70,26,Mise en place,
71,27,Pose d'éléments de coffrage,
72,27,Disposition de treillis métallique,
73,27,Remplissage,
74,28,Tour d'étaiement - Coffrage bois,
75,29,Tour d'étaiement,
76,30,Tire-fort,
77,30,Grue,
78,31,Tour d'étaiement,
79,31,Etais,
80,31,Palonnier,
81,31,Platelage,
82,31,Grue,
83,32,Tour d'étaiement,
84,32,Etais,
85,32,Palonnier,
86,32,Platelage,
87,32,Grue,
88,33,Tour d'étaiement,
89,33,Ferraillage,
90,33,Bétonnage,
91,34,Dallage,
92,34,Pose de dalles,
93,35,Béton projeté - enduit,
94,36,Aiguillage des fourreaux,
95,36,Manutention,
96,36,Travail en tranchée,
97,36,Découpe de matériaux,
98,36,Travail en tranchée,
99,37,Dénivellation,
100,37,Pose de bordure,
101,37,Découpe de bordure,
102,38,Mise en oeuvre de l'enrobé,
103,38,Enrobé mis en oeuvre,
104,38,Mise en oeuvre des enrobés,
105,38,Mise en oeuvre des enrobés,
106,38,Finisseur,
107,38,Répandeuse à liants,
108,39,Mise en oeuvre,
109,41,Travaux de démolition,
110,41,Evolution d'engins,
111,41,Démolition,
112,41,Démolition,
113,41,Utilisation d'outils,
114,41,Travaux de démolition,
115,42,Circulation routière à proximité du chantier,
116,42,Circulation piétonne,
117,43,Circulation de véhicules,
118,43,Circulation d'engins à proximité de voies,
119,44,Présence de lignes électriques,
120,44,Circulation d'engins à proximité de lignes électriques,
121,44,Fouilles sous lignes électriques,
122,45,DICT,
123,46,Levage de matériel,
124,47,Milieu explosif,
125,48,Travail dans l'obscurité,
126,49,"Présence d'eau croupie, de matières putrescibles, travail à proximité ou dans les égouts",
127,49,Présence de matériaux rouillé,
128,49,Travaux en égouts,
129,50,Etendue d'eau/ rivière à proximité de chantier,
