"id","numSituation","numSituationGroup","name"
1,1,1,"Harnais et longe"
2,1,1,"EPI: casque, gilet Haute-Visibilité, chaussures, gants, lunettes, protections auditives…"
3,2,1," Marteau, pince, pelle manuelle, barre à mine, etc."
4,3,1," Scie, meuleuse, disqueuse, tronçonneuse…"
5,4,1," Scie, meuleuse, disqueuse,…"
6,5,1,"Marteaux piqueurs, visseuses, treuils,…"
7,6,1,"Poste à souder, chalumeau"
8,7,1,"Différentes charges"
9,7,1,"Déchargement de matériel"
10,7,1,"Stockage matériel"
11,8,1,"Engins et personnel à pied"
12,8,1,"Personnel à pied"
13,9,1,"Véhicules, camions, engins"
14,9,1,"Véhicule à remorque"
15,9,1,"Véhicule à remorque / Porte-char"
16,10,1,"Tombereau, camion benne, toupie, gravillonneur et semi-remorque"
17,11,1,"Basses températures"
18,11,1,"Neige, gel"
19,12,1,"Températures élevées"
20,13,1,"Personnel à pied"
21,13,1,"Laser / niveau"
22,13,1,"Engins de chantier / Personnel à pied"
23,14,1,"Matériel stocké en hauteur"
24,14,1,"Rangement du matériel"
25,15,1,"Utilisation de produits chimiques irritants, nocifs, toxiques, corrosifs"
26,15,1,"Emissions de fumées, gaz"
27,16,1,"Produits chimiques"
28,17,1,"Produits chimiques"
29,18,1,"Produits inflammables"
30,19,1,
31,20,2,"Personnel à pied"
32,20,2,"Personnel à pied / Panneaux de signalisation"
33,21,2,"Camion grue / Barrières / Personnel à pied"
34,22,2,"Engins de chantier / Personnel à pied"
35,22,2,"Laser / niveau"
36,22,2,"Personnel à pied"
37,23,2,"Camion grue / Bungalow / Personnel à pied"
38,24,2,"Engins de chantier"
39,25,2,"Camion avec remorque / Personnel à pied"
40,26,2,"Groupe électrogène"
41,27,2,"Armoire électrique"
42,28,3,"Engin de terrassement"
43,29,3,"Pelle hydraulique utilisée comme engin de levage / Blindage"
44,30,3,"Engins de terrassement"
45,30,3,"Engins de terrassement / Camions"
46,30,3,"Engins de terrassement"
47,30,3,"Pelle manuelle"
48,31,3,"Engins de terrassement"
49,32,3,"Véhicules, camions, engins"
50,33,3,"Tombereau, camion benne, toupie, gravillonneur et semi-remorque"
51,34,3,"Petits engins de chantier / Auto-benne"
52,35,3,"Engins de terrassement"
53,36,3,"Personnel à pied"
54,37,4,"Engins, camion"
55,37,4,"Engins de chantier / Personnel à pied"
56,37,4,"Tombereaux, camions"
57,38,4,"Engins, camion"
58,38,4,"Engins de chantier / Personnel à pied"
59,38,4,"Tombereaux, camions"
60,39,4,"Engins, camion"
61,39,4,"Engins de chantier / Personnel à pied"
62,39,4,"Camions"
63,40,4,"Compacteur"
64,40,4,"Compacteur / Personnel à pied"
65,41,4,"Répandeuse de ciment ou de chaux"
66,42,5,"Engins de chantier / Personnel à pied"
67,42,5,"Engins de chantier"
68,42,5,"Engins de chantier / Camion"
69,42,5,"Raboteuse"
70,43,5,"Finisseur / Personnel à pied"
71,43,5,"Répandeuse à liant / Personnel à pied"
72,44,6,"Tronçonneuse thermique"
73,45,6,"Port de charge"
74,45,6,"Lève-bordure"
75,45,6,"Port de charge / Lève-bordure"
76,46,6,"Pied de biche / Lève tampon"
77,47,6,"Mortier / Ciment"
78,48,6," Marteau, pince, pelle manuelle, barre à mine, etc."
79,49,7,"Engins de chantier"
80,49,7,"Aspiratrice / Personnel à pied"
81,49,7,"Aspiratrice"
82,50,7,"Engins de terrassement / Pelle manuelle"
83,51,7,"Pelle hydraulique utilisée comme engin de levage / Blindage"
84,52,7,"Engins et personnel à pied"
85,53,7,"Pelle hydraulique"
86,54,7,"Camion benne"
87,55,7,"Laser / niveau"
88,56,7,"Chargeuse / Pelle"
89,57,7,"Pelle manuelle / Rateau"
90,58,7,"Tronçonneuse / Chanfreineuse"
